link,title,variation
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-ĐEN-TUYỀN-Không-Tẩy-Tặng-Kèm-Oxy-Găng-Tay-Mũ-Ủ-i.813675813.20738409829?sp_atk=c4f64b5f-c871-4f64-97c3-3ac8b2159669&xptdk=c4f64b5f-c871-4f64-97c3-3ac8b2159669,"Yêu thíchThuốc Nhuộm Tóc Màu ĐEN TUYỀN Không Tẩy Tặng Kèm Oxy , Găng Tay , Mũ Ủ",MÀU NHUỘM ĐEN TUYỀN
https://shopee.vn/Thuốc-Nhuộm-Tóc-Thuốc-Nhuộm-Tóc-Tại-Nhà-Màu-ĐEN-TUYỀN-Không-Tẩy-Tặng-Kèm-Găng-Tay-Và-Oxy-i.1037239202.23074689046?sp_atk=0b1ee7de-4382-4021-8404-293447097b21&xptdk=0b1ee7de-4382-4021-8404-293447097b21,"Thuốc Nhuộm Tóc , Thuốc Nhuộm Tóc Tại Nhà Màu ĐEN TUYỀN Không Tẩy Tặng Kèm Găng Tay Và Oxy",no_variation
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-ĐEN-TUYỀN-Đen-Tự-Nhiên-Không-Tẩy-kem-nhuộm-tóc-tại-nhà-tặng-kèm-găng-tay-chùm-đầu-TNT.HAIR-i.328108810.23774590017?sp_atk=52c39597-8822-4679-b0ee-a00f632d05ae&xptdk=52c39597-8822-4679-b0ee-a00f632d05ae,"Thuốc Nhuộm Tóc Màu ĐEN TUYỀN, Đen Tự Nhiên Không Tẩy, kem nhuộm tóc tại nhà tặng kèm găng tay, chùm đầu | TNT.HAIR",Dưỡng Ít 65k
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-Đen-Tuyền-SÀNH-LOVE-HAIR-Thuốc-Nhuộm-Đen-Không-Tẩy-Tặng-Kèm-Oxy-Trợ-Nhuộm-Găng-Tay-Và-Mũ-i.987669657.22741883968?sp_atk=00d87ba2-d637-4272-bec5-fba57e4f65f9&xptdk=00d87ba2-d637-4272-bec5-fba57e4f65f9,"Thuốc Nhuộm Tóc Màu Đen Tuyền SÀNH LOVE HAIR - Thuốc Nhuộm Đen Không Tẩy, Tặng Kèm Oxy Trợ Nhuộm + Găng Tay Và Mũ",Dưỡng Nhiều|||Không dụng cụ
https://shopee.vn/Thuốc-nhuộm-tóc-màu-đen-Hello-Cream-1B-đen-tuyền-Nhuộm-tóc-Mise-En-Scence-Hello-Cream-1B-i.268869564.20452143285?sp_atk=ebc0ba70-758d-414c-955b-631a4b969ef1&xptdk=ebc0ba70-758d-414c-955b-631a4b969ef1,Thuốc nhuộm tóc màu đen Hello Cream 1B đen tuyền | Nhuộm tóc Mise En Scence Hello Cream 1B,no_variation
https://shopee.vn/Thuốc-Nhuộm-Tóc-KoolPro-Màu-Đen-Tuyền-Không-Tẩy-100g-tặng-kèm-dụng-cụ-nhuộm-i.767578558.12494178070?sp_atk=567523c5-fc2a-457c-942e-3f5ef2570199&xptdk=567523c5-fc2a-457c-942e-3f5ef2570199,Thuốc Nhuộm Tóc KoolPro Màu Đen Tuyền Không Tẩy 100g tặng kèm dụng cụ nhuộm,Thuốc + dưỡng
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-Đen-Tuyền-Đen-Tự-Nhiên-2.0-Natural-Black-Dye-Cream-i.79237961.10918039120?sp_atk=eba49b5f-4008-4199-a59d-c62e260bf236&xptdk=eba49b5f-4008-4199-a59d-c62e260bf236,"Yêu thíchThuốc Nhuộm Tóc Màu Đen Tuyền, Đen Tự Nhiên 2.0 Natural Black Dye Cream",Thuốc
https://shopee.vn/Thuốc-nhuộm-tóc-màu-Đen-Tuyền-màu-nhuộm-lân-chuẩn-tone-Đen-Tuyền-kem-nhuộm-an-toàn-nhuộm-không-sót-da-đầu-mùi-thơm-i.240543985.6195399755?sp_atk=f779c556-d485-48da-bc0d-5cf17e2d702b&xptdk=f779c556-d485-48da-bc0d-5cf17e2d702b,Yêu thíchThuốc nhuộm tóc màu Đen Tuyền màu nhuộm lân chuẩn tone Đen Tuyền kem nhuộm an toàn nhuộm không sót da đầu mùi thơm,DƯỠNG NHIỀU 
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-Đen-Tự-Nhiên-Đen-Tuyền-2-0-Natural-Black-Hair-Dye-Cream-i.181951261.2977556992?sp_atk=0b74d1ac-e731-480c-b29e-c0b10e63627c&xptdk=0b74d1ac-e731-480c-b29e-c0b10e63627c,"Yêu thíchThuốc Nhuộm Tóc Màu Đen Tự Nhiên, Đen Tuyền 2/0 Natural Black Hair Dye Cream",Trợ Oxy Only 3 or 6%
https://shopee.vn/-KHÔNG-TẨY-Thuốc-nhuộm-tóc-MÀU-ĐEN-TUYỀN-phủ-được-TÓC-BẠC-i.83372150.8383730248?sp_atk=2b7c2f9c-9919-4dd7-bc58-07bb2fa31009&xptdk=2b7c2f9c-9919-4dd7-bc58-07bb2fa31009,[KHÔNG TẨY] Thuốc nhuộm tóc MÀU ĐEN TUYỀN phủ được TÓC BẠC,Dưỡng Colagen
